1933-05-22,3,2038,GRAND CANARY,A. J. CRONIN
1933-05-29,1,518,AS THE EARTH TURNS,GLADYS HASTY CARROLL
1933-05-29,2,2038,GRAND CANARY,A. J. CRONIN
1933-05-29,3,7414,ZEST,CHARLES G. NORRIS
1933-06-05,1,518,AS THE EARTH TURNS,GLADYS HASTY CARROLL
1933-06-05,2,4530,THE ALBUM,MARY ROBERTS RINEHART
1933-06-05,3,7414,ZEST,CHARLES G. NORRIS
1933-06-12,1,2731,"LITTLE MAN, WHAT NOW?",HANS FALLADA
1933-06-12,2,4530,THE ALBUM,MARY ROBERTS RINEHART
1933-06-12,3,518,AS THE EARTH TURNS,GLADYS HASTY CARROLL
1933-06-19,1,2731,"LITTLE MAN, WHAT NOW?",HANS FALLADA
1933-06-19,2,4530,THE ALBUM,MARY ROBERTS RINEHART
1933-06-19,3,518,AS THE EARTH TURNS,GLADYS HASTY CARROLL
1933-06-26,1,2731,"LITTLE MAN, WHAT NOW?",HANS FALLADA
1933-06-26,2,518,AS THE EARTH TURNS,GLADYS HASTY CARROLL
1933-06-26,3,2964,MEN OF GOOD-WILL,JULES ROMAINS
1933-07-03,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-07-03,2,2731,"LITTLE MAN, WHAT NOW?",HANS FALLADA
1933-07-03,3,7287,WIFE FOR SALE,KATHLEEN NORRIS
1933-07-10,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-07-10,2,2731,"LITTLE MAN, WHAT NOW?",HANS FALLADA
1933-07-10,3,518,AS THE EARTH TURNS,GLADYS HASTY CARROLL
1933-07-17,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-07-17,2,518,AS THE EARTH TURNS,GLADYS HASTY CARROLL
1933-07-17,3,2731,"LITTLE MAN, WHAT NOW?",HANS FALLADA
1933-07-24,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-07-24,2,2731,"LITTLE MAN, WHAT NOW?",HANS FALLADA
1933-07-24,3,4350,STRANGER'S RETURN,PHIL STONG
1933-07-31,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-07-31,2,4350,STRANGER'S RETURN,PHIL STONG
1933-07-31,3,2731,"LITTLE MAN, WHAT NOW?",HANS FALLADA
1933-08-07,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-08-07,2,371,ALL MEN ARE ENEMIES,RICHARD ALDINGTON
1933-08-07,3,4350,STRANGER'S RETURN,PHIL STONG
1933-08-14,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-08-14,2,371,ALL MEN ARE ENEMIES,RICHARD ALDINGTON
1933-08-14,3,2731,"LITTLE MAN, WHAT NOW?",HANS FALLADA
1933-08-21,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-08-21,2,371,ALL MEN ARE ENEMIES,RICHARD ALDINGTON
1933-08-21,3,5118,THE FARM,LOUIS BROMFIELD
1933-08-28,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-08-28,2,5118,THE FARM,LOUIS BROMFIELD
1933-08-28,3,371,ALL MEN ARE ENEMIES,RICHARD ALDINGTON
1933-09-04,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-09-04,2,5118,THE FARM,LOUIS BROMFIELD
1933-09-04,3,5969,THE PARADINE CASE,ROBERT HICHENS
1933-09-11,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-09-11,2,5118,THE FARM,LOUIS BROMFIELD
1933-09-11,3,3017,MISS BISHOP,BESS STREETER ALDRICH
1933-09-18,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-09-18,2,5118,THE FARM,LOUIS BROMFIELD
1933-09-18,3,5775,THE MASTER OF JAINA,MAZ DE LA ROCHE
1933-09-25,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-09-25,2,7099,VANESSA,HUGH WALPOLE
1933-09-25,3,3272,NO SECOND SPRING,JANET BEITH
1933-10-02,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-10-02,2,7099,VANESSA,HUGH WALPOLE
1933-10-02,3,5775,THE MASTER OF JAINA,MAZ DE LA ROCHE
1933-10-09,1,481,ANTHONY ADVERSE,HERVEY ALLEN
