1171,COVERT WARRIORS,W. E. B. GRIFFIN AND WILLIAM E. BUTTERWORTH IV,1,2012-01-15,14
1172,COYOTE WAITS,TONY HILLERMAN,13,1990-07-08,3
1173,CRADLE AND ALL,JAMES PATTERSON,10,2000-06-11,2
1174,CRASH AND BURN,LISA GARDNER,3,2015-02-22,7
1175,CREAM PUFF MURDER,JOANNE FLUKE,1,2009-03-15,12
1176,CREATION,GORE VIDAL,16,1981-04-05,2
1177,CREATION IN DEATH,J. D. ROBB,4,2007-11-25,2
1178,CREATURES OF CIRCUMSTANCE,W SOMERSET MAUGHAN,8,1947-08-17,7
1179,CREEK MARY'S BLOOD,DEE BROWN,11,1980-04-06,9
118,A GOD IN RUINS,KATE ATKINSON,2,2015-05-24,6
1180,CREOLE BELLE,JAMES LEE BURKE,3,2012-08-05,5
1181,CRESCENT CITY,BELVA PLAIN,10,1984-09-16,5
1182,CRESCENT DAWN,CLIVE CUSSLER AND DIRK CUSSLER,6,2010-12-05,4
1183,CRESS DELAHANTY,JESSAMYN WEST,11,1954-01-31,8
1184,CRIME SCENE,JONATHAN KELLERMAN AND JESSE KELLERMAN,2,2017-08-20,9
1185,CRIMEFILE NO. 1,DENNIS WHEATLEY AND J. H. LINKS,5,1936-10-12,5
1186,CRIMINAL,KARIN SLAUGHTER,3,2012-07-22,4
1187,CRIMSON DEATH,LAURELL K. HAMILTON,1,2016-10-30,9
1188,CRIMSON IS THE EASTERN SHORE,DON TRACY,1,1953-05-03,16
1189,CRIMSON JOY,ROBERT B. PARKER,11,1988-06-05,6
119,A GOD IN RUINS,LEON URIS,2,1999-06-13,14
1190,CRIMSON SHORE,DOUGLAS PRESTON AND LINCOLN CHILD,2,2015-11-29,6
1191,CRIPPLED SPLENDOUR,EVAN JOHN,2,1938-10-03,6
1192,CRISIS,ROBIN COOK,4,2006-08-27,3
1193,CRISS CROSS,JAMES PATTERSON,8,2019-12-15,3
1194,CRITICAL,ROBIN COOK,2,2007-08-26,11
1195,CROOKED RIVER,DOUGLAS PRESTON AND LINCOLN CHILD,4,2020-02-23,3
1196,CROSS,JAMES PATTERSON,15,2006-12-03,1
1197,CROSS BONES,KATHY REICHS,3,2005-07-17,9
1198,CROSS COUNTRY,JAMES PATTERSON,11,2008-12-07,1
1199,CROSS FIRE,JAMES PATTERSON,10,2010-12-05,1
12,'N'' IS FOR NOOSE,SUE GRAFTON,7,1998-05-10,1
120,A GOOD NEIGHBORHOOD,THERESE ANNE FOWLER,1,2020-03-29,5
1200,CROSS JUSTICE,JAMES PATTERSON,7,2015-12-13,1
1201,CROSS MY HEART,JAMES PATTERSON,9,2013-12-15,1
1202,CROSS ROADS,WM. PAUL YOUNG,11,2012-12-02,6
1203,CROSS THE LINE,JAMES PATTERSON,10,2016-12-11,1
1204,CROSSFIRE,DICK FRANCIS AND FELIX FRANCIS,1,2010-09-05,11
1205,CROSSINGS,DANIELLE STEEL,24,1982-09-26,5
1206,CROSSROADS OF TWILIGHT,ROBERT JORDAN,12,2003-01-26,1
1207,CROW AND WEASEL,BARRY LOPEZ. ILLUSTRATED BY TOM POHRT,4,1990-11-18,12
1208,CROWN JEWEL,FERN MICHAELS,1,2004-01-18,15
1209,CROWNED HEADS,THOMAS TRYON,14,1976-07-11,5
121,A GOOD WOMAN,DANIELLE STEEL,2,2008-11-16,5
1210,CRUCIBLE,JAMES ROLLINS,2,2019-02-10,2
1211,CRUEL & UNUSUAL,PATRICIA D. CORNWELL,12,1993-06-27,5
1212,CRUNCH TIME,DIANE MOTT DAVIDSON,1,2011-04-24,7
1213,CRUSADER'S CROSS,JAMES LEE BURKE,2,2005-07-31,10
1214,CRY NO MORE,LINDA HOWARD,1,2003-11-23,9
1215,"CRY, THE BELOVED COUNTRY",ALAN PATON,25,1948-02-29,11
1216,CRYPTONOMICON,NEAL STEPHENSON,3,1999-05-23,12
1217,CRYSTAL GARDENS,AMANDA QUICK,1,2012-05-13,5
1218,CUBA,STEPHEN COONTS,1,1999-08-29,13
1219,CUBA LIBRE,ELMORE LEONARD,5,1998-02-08,8
122,A GOOD YARN,DEBBIE MACOMBER,1,2005-05-15,14
1220,CUBA STRAITS,RANDY WAYNE WHITE,2,2015-04-12,8
1221,CUJO,STEP HEN KING,1,1982-01-24,8
1222,CUJO,STEPHEN KING,33,1981-08-16,1
1223,CURE,ROBIN COOK,1,2010-08-29,14
1224,CURIOUS MINDS,JANET EVANOVICH AND PHOEF SUTTON,3,2016-09-04,3
1225,CURSE OF THE KINGS,VICTORIA HOLT,12,1973-08-19,7
1226,CURSED,CAROL HIGGINS CLARK,2,2009-04-26,9
1227,CURTAIN,AGATHA CHRISTIE,33,1975-10-05,1
1228,CUT AND THRUST,STUART WOODS,2,2014-08-03,4
1229,CUTLASS EMPIRE,F. VAN WYCK MASON,22,1949-03-27,4
123,A GOOD YEAR,PETER MAYLE,3,2004-06-20,13
1230,CYCLOPS,CLIVE CUSSLER,14,1986-01-26,4
1231,D. C. DEAD,STUART WOODS,1,2012-01-15,16
1232,DADDY,DANIELLE STEEL,22,1989-11-19,1
1233,DADDY'S GIRLS,DANIELLE STEEL,4,2020-06-28,5
1234,DADDY'S GONE A HUNTING,MARY HIGGINS CLARK,6,2013-04-28,1
1235,DADDY'S LITTLE GIRL,MARY HIGGINS CLARK,9,2002-05-05,1
1236,DADDY’S GIRL,LISA SCOTTOLINE,3,2007-04-01,3
1237,DAISY JONES & THE SIX,TAYLOR JENKINS REID,9,2019-03-24,3
1238,DAISY KENYON,ELIZABETH JANEWAY,1,1945-11-25,16
1239,DAISY-HEAD MAYZIE,DR. SEUSS,11,1995-02-19,5
124,A GREAT RECKONING,LOUISE PENNY,5,2016-09-18,1
1240,DAMAGE,JOHN LESCROART,2,2011-01-23,12
1241,DAMAGE,JOSEPHINE HART,11,1991-03-31,5
1242,DAMAGE CONTROL,J. A. JANCE,2,2008-08-10,8
1243,DAMAGED,LISA SCOTTOLINE,2,2016-09-04,6
1244,DAMASCUS COUNTDOWN,JOEL C. ROSENBERG,4,2013-03-24,7
1245,DAMASCUS GATE,ROBERT STONE,4,1998-05-17,13
1246,DAMIA,ANNE MCCAFFREY,1,1992-08-02,15
1247,DAMIA'S CHILDREN,ANNE MCCAFFREY,1,1993-02-21,14
1248,DAMNED,CHUCK PALAHNIUK,2,2011-11-06,6
1249,DANCE OF DEATH,DOUGLAS PRESTON AND LINCOLN CHILD,4,2005-07-03,5
125,A GREEN DESIRE,ANTON MYRER,15,1982-02-07,3
1250,DANCE OF THE BONES,J. A. JANCE,1,2015-09-27,15
1251,DANCE WITH THE DEVIL,KIRK DOUGLAS,1,1990-08-05,15
1252,DANGER SIGNAL,PHYLLIS BOTTOME,3,1939-02-06,4
1253,DANGEROUS,DIANA PALMER,1,2010-06-13,13
1254,DANGEROUS GAMES,DANIELLE STEEL,4,2017-03-26,1
1255,DANGEROUS KISS,JACKIE COLLINS,4,1999-06-20,11
1256,DANGEROUS MINDS,JANET EVANOVICH,3,2017-07-09,5
1257,DANGEROUS TO KNOW,BARBARA TAYLOR BRADFORD,6,1995-07-30,9
1258,DANIEL MARTIN,JOHN FOWLES,27,1977-09-25,4
1259,DANSE MACABRE,LAURELL K. HAMILTON,3,2006-07-23,4
126,A HAPPY DEATH,ALBERT CAMUS,2,1972-07-09,9
1260,DARK AGE,PIERCE BROWN,1,2019-08-18,5
1261,DARK ANGEL,SALLY BEAUMAN,1,1990-08-19,15
1262,DARK ASSASSIN,ANNE PERRY,1,2006-04-16,15
1263,DARK BLOOD,CHRISTINE FEEHAN,1,2014-09-21,12
1264,DARK CAROUSEL,CHRISTINE FEEHAN,1,2016-08-21,9
1265,DARK CELEBRATION,CHRISTINE FEEHAN,4,2006-09-24,3
1266,DARK CURSE,CHRISTINE FEEHAN,3,2008-09-21,1
1267,DARK FORCE RISING,TIMOTHY ZAHN,15,1992-06-07,2
1268,DARK HARBOR,STUART WOODS,5,2006-04-30,2
1269,DARK HORSE,FLETCHER KNEBEL,19,1972-07-16,3
127,A HEARTBEAT AWAY,MICHAEL PALMER,2,2011-03-06,10
1270,DARK HORSE,TAMI HOAG,5,2002-09-15,3
1271,DARK ILLUSION,CHRISTINE FEEHAN,1,2019-09-22,11
1272,DARK IN DEATH,J.D. ROBB,4,2018-02-18,1
1273,DARK JUSTICE,JACK HIGGINS,4,2004-09-12,8
1274,DARK LADY,RICHARD NORTH PATTERSON,5,1999-09-12,6
1275,DARK LEGACY,CHRISTINE FEEHAN,1,2017-09-24,9
1276,DARK LORD: THE RISE OF DARTH VADER,JAMES LUCENO,2,2005-12-11,11
1277,DARK LYCAN,CHRISTINE FEEHAN,1,2013-09-22,6
1278,DARK MATTER,BLAKE CROUCH,4,2016-08-14,14
1279,DARK MIRROR,DIANE DUANE,1,1993-11-28,14
128,A HERO OF FRANCE,ALAN FURST,1,2016-06-19,7
1280,DARK OF NIGHT,SUZANNE BROCKMANN,1,2009-02-15,6
1281,DARK OF THE MOON,JOHN SANDFORD,5,2007-10-21,3
1282,DARK PERIL,CHRISTINE FEEHAN,2,2010-09-19,3
1283,DARK POSSESSION,CHRISTINE FEEHAN,4,2007-09-16,3
1284,DARK PREDATOR,CHRISTINE FEEHAN,2,2011-09-25,3
1285,DARK PROMISES,CHRISTINE FEEHAN,1,2016-04-03,9
1286,DARK RIVERS OF THE HEART,DEAN KOONTZ,10,1994-11-27,7
1287,DARK ROSE,MAURICE WALSH,1,1938-03-28,8
1288,DARK SACRED NIGHT,MICHAEL CONNELLY,9,2018-11-18,3
1289,DARK SENTINEL,CHRISTINE FEEHAN,1,2018-09-23,8
129,A HOLOGRAM FOR THE KING,DAVE EGGERS,1,2012-07-08,16
1290,DARK SIDE OF THE MOON,SHERRILYN KENYON,2,2006-06-18,7
1291,DARK SLAYER,CHRISTINE FEEHAN,3,2009-09-20,1
1292,DARK SONG,CHRISTINE FEEHAN,1,2020-09-20,15
1293,DARK STORM,CHRISTINE FEEHAN,1,2012-10-21,7
1294,DARK SUMMER,IRIS JOHANSEN,2,2008-11-09,10
1295,DARK TORT,DIANE MOTT DAVIDSON,4,2006-04-30,4
1296,DARK TRIBUTE,IRIS JOHANSEN,1,2019-04-14,15
1297,DARK WOLF,CHRISTINE FEEHAN,1,2014-01-26,3
1298,DARKER AFTER MIDNIGHT,LARA ADRIAN,1,2012-02-12,9
1299,DARKNESS,JOHN SAUL,4,1991-07-21,11
13,10 LB. PENALTY,DICK FRANCIS,7,1997-10-12,5
130,A HOUSE DIVIDED,PEARL S. BUCK,8,1935-01-28,4
1300,DARKSABER,KEVIN J. ANDERSON,3,1995-10-22,12
1301,DARTH BANE: PATH OF DESTRUCTION,DREW KARPYSHYN,2,2006-10-15,11
1302,DARTH BANE: RULE OF TWO,DREW KARPYSHYN,2,2008-01-13,12
1303,DARTH MAUL: Shadow Hunter,MICHAEL REAVES,4,2001-02-18,9
1304,DARTH PLAGUEIS,JAMES LUCENO,2,2012-01-29,4
1305,DASHING THROUGH THE SNOW,DEBBIE MACOMBER,1,2015-10-25,15
1306,DASHING THROUGH THE SNOW,MARY HIGGINS CLARK AND CAROL HIGGINS CLARK,2,2008-12-07,9
1307,DATING GAME,DANIELLE STEEL,6,2003-03-23,3
1308,DAUGHTER OF FORTUNE,ISABEL ALLENDE,13,1999-11-07,4
1309,DAUGHTER OF SILENCE,MORRIS L. WEST,21,1961-12-10,5
131,A HOUSEFUL OF LOVE,MARJORIE HOUSEPIAN,4,1957-07-21,13
1310,DAVID THE KING,GLADYS SCHMITT,18,1946-03-17,3
1311,DAWN AT LYONESSE,MARY ELLEN CHASE,2,1938-03-21,7
1312,DAY OF CONFESSION,ALLAN FOLSOM,3,1998-10-04,12
1313,DAY OF RECKONING,JACK HIGGINS,5,2000-03-19,9
1314,DAY OF THE CHEETAH,DALE BROWN,9,1989-07-02,8
1315,DAY SHIFT,CHARLAINE HARRIS,1,2015-05-24,15
1316,DAYBREAK,BELVA PLAIN,2,1994-05-08,15
1317,DAYLIGHT,DAVID BALDACCI,1,2020-12-06,2
1318,DAYS AND NIGHTS,KONSTANTINE SIMONOV,11,1945-11-18,9
1319,DAYS OF INFAMY,NEWT GINGRICH AND WILLIAM R. FORSTCHEN,1,2008-05-18,11
132,A JOURNEY TO MATECUMBE,ROBERT LEWIS TAYLOR,22,1961-05-21,8
1320,DAZZLE,JUDITH KRANTZ,14,1990-12-02,3
1321,DEACON KING KONG,JAMES MCBRIDE,4,2020-03-22,7
1322,DEAD AIM,IRIS JOHANSEN,4,2003-04-20,6
1323,DEAD AND GONE,CHARLAINE HARRIS,23,2009-05-24,1
1324,DEAD AS A DOORNAIL,CHARLAINE HARRIS,1,2005-05-22,14
1325,DEAD EVER AFTER,CHARLAINE HARRIS,5,2013-05-26,1
1326,DEAD HEAT,DICK FRANCIS AND FELIX FRANCIS,4,2007-10-07,3
1327,DEAD HEAT,JOEL C. ROSENBERG,6,2008-04-06,4
1328,DEAD HEAT,PATRICIA BRIGGS,2,2015-03-22,8
1329,DEAD ICE,LAURELL K. HAMILTON,1,2015-06-28,7
133,A KISS OF SHADOWS,LAURELL K. HAMILTON,1,2000-10-22,14
1330,DEAD IN THE FAMILY,CHARLAINE HARRIS,10,2010-05-23,1
1331,DEAD IN THE WATER,STUART WOODS,4,1997-08-31,11
1332,DEAD MAN'S WALK,LARRY MCMURTRY,7,1995-09-17,7
1333,DEAD OF NIGHT,RANDY WAYNE WHITE,1,2005-04-10,14
