E.L. DOCTOROW,2
FREDERICK MANFRED,1
S. M. STIRLING,4
ANDREW M. GREELEY,7
SAMUEL SHELLABARGER,3
EUDURA WELTY,1
NELL FREUDENBERGER,1
ETAF RUM,1
CLIVE CUSSLER WITH GRANT BLACKWOOD,3
MARGARET MITCHELL. EDITED BY DEBRA FREER,1
LISA JACKSON,7
KRESLEY COLE,1
JOAN COLLINS,2
NOEL CLAD,1
H.E. BATES,2
JANET EVANOVICH AND DORIEN KELLY,1
WALKER PERCY,3
GABRIEL GARCIA MARQUEZ,5
ELIZABETH BOWEN,3
CHARLES BRACELEN FLOOD,1
JOHN KENNEY,1
DAVID RAKOFF,1
J.R. WARD,9
C.Y. LEE,2
FRANCINE DU PLESSIX GRAY,1
FRANCINE PROSE,1
NANCY HORAN,2
PAMELA FRANKAU,3
JOHN HORNE BURNS,2
MARTIN BOYD,1
JESSICA KNOLL,2
AMY BLOOM,2
CARL HIAASEN,11
MARGARET KENNEDY,4
WILLA CATHER,5
BRETT EASTON ELLIS,1
RICHARD PRICE,1
RAVEN LEILANI,1
R.G. WALDECK,1
KENNETH ROBERTS,5
JAYNE ANNE PHILLIPS,1
IAN MCEWAN,9
ANONYMOUS AKA GLADYS HUNTINGTON,1
MARGARET ATWOOD,10
L. S. HILTON,1
ILONA ANDREWS,3
HELEN MCINNES,1
! BY TERRY BROOKS,1
ALICE HOFFMAN,14
PAUL I. WELLMAN,4
ERIC LINKLATER,1
ANTHONY HOROWITZ,3
LIVINGSTON BIDDLE,1
SETH GRAHAME-SMITH,1
WHITLEY STRIEBER,1
HELEN SIMONSON,2
TERRY PRATCHETT,4
